OSEBuildingID,Buildingtype,Primarypropertytype,Neighborhood,Propertygfaparking,Propertygfabuilding(S),Largestpropertyusetype,Largestpropertyusetypegfa,Energystarscore,Sourceeui(Kbtu/Sf),Siteenergyuse(Kbtu),Steamuse(Kbtu),Totalghgemissions,Ghgemissionsintensity,Latitude,Longitude,BuiltAge,avg_building,avg_floor,Allpropertynumber
1,NonResidential,Hotel,DOWNTOWN,0,88434,Hotel,88434.0,65.0,173.5,6981428.0,2023032.0,249.43,2.64,47.61219025,-122.33799744,88,88434.0,88434.0,1
2,NonResidential,Hotel,DOWNTOWN,15064,88502,Hotel,83880.0,51.0,191.3,8354235.0,0.0,263.51,2.38,47.61310583,-122.33335756,19,103566.0,103566.0,3
9,NonResidential,Other,DOWNTOWN,37198,60090,Police Station,88830.0,68.14306878306878,313.5,12051984.0,0.0,304.62,2.81,47.6164389,-122.33676431,16,97288.0,97288.0,1
10,NonResidential,Hotel,DOWNTOWN,0,83008,Hotel,81352.0,25.0,149.5,6252842.0,0.0,208.46,2.37,47.6141141,-122.33274086,89,83008.0,83008.0,1
11,NonResidential,Other,DOWNTOWN,0,102761,Other - Entertainment/Public Assembly,102761.0,68.14306878306878,152.2,6426022.0,2003108.0,199.99,1.77,47.61290234,-122.33130949,89,102761.0,102761.0,1
12,NonResidential,Hotel,DOWNTOWN,0,163984,Hotel,163984.0,46.0,174.6,12633744.0,0.0,331.61,1.83,47.60258934,-122.33255325,111,163984.0,163984.0,1
13,Residential,Mid-Rise Multifamily,DOWNTOWN,1496,62216,Multifamily Housing,56132.0,2.0,178.1,4587231.0,1483476.0,170.0,2.51,47.60278416,-122.33214887,105,63712.0,63712.0,1
17,NonResidential,Hotel,DOWNTOWN,0,65009,Hotel,65009.0,39.0,166.5,6807227.0,1987163.0,334.87,5.04,47.60709939,-122.33310536,87,65009.0,65009.0,1
19,NonResidential,Hotel,DOWNTOWN,0,67390,Not available,0.0,14.0,317.4,10711451.0,4403788.0,486.25,6.95,47.60761642,-122.3323288,93,67390.0,67390.0,1
22,NonResidential,Other,DOWNTOWN,0,103911,Fitness Center/Health Club/Gym,90000.0,68.14306878306878,173.7,10340282.0,4398022.0,411.09,3.74,47.60544586,-122.33280182,85,103911.0,103911.0,3
24,NonResidential,Mixed Use Property,DOWNTOWN,0,57452,Social/Meeting Hall,16442.0,68.14306878306878,278.7,7481768.0,1755365.0,265.5,4.34,47.60552597,-122.33163032,108,57452.0,57452.0,5
25,NonResidential,Hotel,DOWNTOWN,0,104352,Not available,0.0,83.0,119.5,7845112.0,3205497.0,411.22,3.87,47.60397899,-122.3320576,99,104352.0,104352.0,1
28,Education,K-12 School,SOUTHEAST,0,56228,K-12 School,58320.0,96.0,59.2,1454222.0,0.0,35.17,0.56,47.54570136,-122.2685843,54,56228.0,56228.0,1
29,NonResidential,Hotel,NORTHEAST,30586,58006,Hotel,58006.0,85.0,151.5,3880806.0,0.0,102.08,1.04,47.65953281,-122.3173925,14,88592.0,88592.0,2
30,NonResidential,College/University,DOWNTOWN,0,126593,College/University,125000.0,68.14306878306878,158.9,9791557.0,0.0,308.6,2.28,47.61839333,-122.3369292,87,126593.0,126593.0,1
31,NonResidential,Other,DOWNTOWN,0,67224,Automobile Dealership,67224.0,68.14306878306878,64.9,1388717.0,0.0,9.68,0.06,47.61490582,-122.33040102,85,67224.0,67224.0,1
32,NonResidential,Hotel,EAST,30301,128375,Hotel,112676.0,68.14306878306878,55.7,5159342.0,0.0,249.43,1.56,47.61300278,-122.32923126,24,158676.0,158676.0,4
33,NonResidential,Hotel,DOWNTOWN,38281,133585,Hotel,128909.0,20.0,183.3,11026945.0,0.0,319.73,1.72,47.61806905,-122.33005445,14,171866.0,171866.0,1
34,Education,K-12 School,CENTRAL,0,126351,K-12 School,126351.0,57.0,84.2,6283226.0,0.0,244.51,1.87,47.62309371,-122.3053887,60,126351.0,126351.0,1
35,NonResidential,Hotel,DOWNTOWN,16200,52210,Hotel,47994.0,60.0,194.1,4341706.0,0.0,125.57,1.69,47.61587049,-122.34197968,37,68410.0,68410.0,1
